ikey,raw_mean,raw_median,n_obs,homoset_Ladaptive_t2.0,homoset_Ladaptive_t1.0,homoset_Lfixed_t2.0,homoset_Lfixed_t1.0,conflict,n_sources,n_accepted_sources,fell_back_raw,mixle_gauss,mixle_gauss_sd,mixle_robust,mixle_robust_sd,min_obs_weight
OQOGEOLRYAOSKO-UHFFFAOYSA-N,-1.7480672930687804,-1.7480672930687804,1,-1.7505727352831633,-1.7505727352831633,-1.7480672930687804,-1.7480672930687804,False,1,1,False,-2.251313232624047,1.064785492392406,-1.8583937596009212,0.34289084857989577,1.0
OQZCSNDVOWYALR-PVSHWOEXSA-N,-3.57779339776498,-3.57779339776498,2,-3.679797344377605,-3.679797344377605,-3.57779339776498,-3.57779339776498,True,2,2,False,-7.081137749836941,0.9989588786409557,-7.918633048935201,0.34361570177005313,0.12296328992794144
OSAGMAAQMRQLLW-UHFFFAOYSA-N,2.216230598342251,2.216230598342251,1,2.213725156127868,2.213725156127868,2.216230598342251,2.216230598342251,False,1,1,False,1.4304775881504144,1.064785492392406,2.0798149280224547,0.3433687063588939,1.0
OSDWBNJEKMUWAV-UHFFFAOYSA-N,0.0198281490349467,-0.5257051750375205,10,-0.57,-0.57,-0.57,-0.57,True,5,5,False,-0.5798859655304275,0.12783064834111224,-0.5760928708843621,0.012820977457930037,0.27368018724969323
OSOUNOBYRMOXQQ-UHFFFAOYSA-N,-0.2479197725483996,-0.2479197725483996,1,-0.25042521476278234,-0.25042521476278234,-0.2479197725483996,-0.2479197725483996,False,1,1,False,-0.8580704637529121,1.064785492392406,-0.3680939752745601,0.3430252885947132,1.0
OSSQSXOTMIGBCF-UHFFFAOYSA-N,1.047501916786417,1.0480706609048527,8,1.0468179397976611,1.0468179397976611,1.05,1.05,False,4,4,False,1.0297386185819453,0.1403376910180406,1.048309638913292,0.012661741733183188,1.0
OSUHJPCHFDQAIT-UHFFFAOYSA-N,-7.49593755260708,-7.49593755260708,2,-7.597941499219705,-7.597941499219705,-7.49593755260708,-7.49593755260708,True,2,2,False,-8.554286805739105,0.9989588786409557,-8.641725690333297,0.33779092958282525,0.8773050429554722
OSWPMRLSEDHDFF-UHFFFAOYSA-N,-3.269940520683559,-3.269940520683559,1,-3.2724459628979417,-3.2724459628979417,-3.269940520683559,-3.269940520683559,False,1,1,False,-3.6647334733063412,1.064785492392406,-3.3702953232519555,0.3428115645152463,1.0
OTFNCXLUCRUNCH-UHFFFAOYSA-N,-1.9968463210152405,-1.9502689735327088,8,-1.9527744157470917,-1.9527744157470917,-1.9502689735327088,-1.9502689735327088,False,1,1,False,-2.3185110085814307,0.38877461899085475,-2.062549973036046,0.13293652057558228,0.7703235578109175
OTKXWJHPGBRXCR-UHFFFAOYSA-N,-7.089603244339355,-7.1858283096623765,3,-7.245074481706412,-7.245074481706412,-7.1858283096623765,-7.1858283096623765,False,2,2,False,-7.32745404871083,0.7409958743451516,-7.153115190675139,0.2458871970023131,1.0
OTLNPYWUJOZPPA-UHFFFAOYSA-N,-6.14241916852063,-6.14241916852063,1,-6.343921619531497,-6.343921619531497,-6.14241916852063,-6.14241916852063,False,1,1,False,-6.548549065492243,2.338096976739336,-6.582428405283264,1.1516864933879307,1.0
OTMOUPHCTWPNSL-UHFFFAOYSA-N,-7.512455724412712,-7.512455724412712,1,-7.7139581754235795,-7.7139581754235795,-7.512455724412712,-7.512455724412712,False,1,1,False,-7.447829489289488,2.338096976739336,-7.849902977128295,1.1547472201562297,1.0
OTMSDBZUPAUEDD-UHFFFAOYSA-N,0.7571829613729059,1.815,36,1.8029295260826625,1.8029295260826625,1.83,1.83,True,5,5,False,1.7102213647250804,0.07790922654254581,1.8285633933644303,0.0080502910801813,0.010993187996231514
OTQFXRBLGNEOGH-UHFFFAOYSA-N,-3.6389793779508977,-3.82292871666358,4,-3.9249326632762056,-3.9249326632762056,-3.82292871666358,-3.82292871666358,True,2,2,False,-3.864781173873284,0.6154102635688459,-3.700894474651123,0.27736728762716883,0.2513565447235017
OTTZHAVKAVGASB-HWKANZROSA-N,1.6747621099230963,1.6703029483070266,7,1.6634799235181643,1.6634799235181643,1.6634799235181643,1.6634799235181643,False,4,4,False,1.6493509360289837,0.13576291438691512,1.6662354770031804,0.014221699918174588,1.0
OTTZHAVKAVGASB-UHFFFAOYSA-N,1.6801841666152113,1.6801841666152113,1,1.6776787244008284,1.6776787244008284,1.6801841666152113,1.6801841666152113,False,1,1,False,0.9326313399868988,1.064785492392406,1.5473102996056947,0.3432809155751745,1.0
