ikey,dHvap_kJmol
APQSQLNWAIULLK-UHFFFAOYSA-N,53.99481370774634
APSMUYYLXZULMS-UHFFFAOYSA-N,66.1
APTGPWJUOYMUCE-UHFFFAOYSA-N,40.00000000000001
AQEFLFZSWDEAIP-UHFFFAOYSA-N,37.50000000000001
AQGPVCBVZAHVBN-UHFFFAOYSA-N,59.8
AQIXEPGDORPWBJ-UHFFFAOYSA-N,52.82490520436416
AQPUCGPFMVEJGS-UHFFFAOYSA-N,88.40000000000002
AQYCMVICBNBXNA-UHFFFAOYSA-N,149.3596515795471
AQZGPSLYZOOYQP-UHFFFAOYSA-N,51.4
ARBYBCHKMDUXNE-UHFFFAOYSA-N,28.68868278091843
ARDIJKGJYOGVEO-UHFFFAOYSA-N,71.27440100704266
ARJWAURHQDJJAC-UHFFFAOYSA-N,46.41648993754076
ARWOOWBJJKVYOV-UHFFFAOYSA-N,42.20000000000001
ARXJGSRGQADJSQ-UHFFFAOYSA-N,47.35545732620538
ASHGTJPOSUFTGB-UHFFFAOYSA-N,74.49999999999999
ASLXNOZOXWPTNG-UHFFFAOYSA-N,177.42781259915938
ASUAYTHWZCLXAN-UHFFFAOYSA-N,50.22973779440457
ASUDFOJKTJLAIK-UHFFFAOYSA-N,38.29999999999999
ASZMYJSJEOGSBR-UHFFFAOYSA-N,81.29999999999998
ATDGTVJJHBUTRL-UHFFFAOYSA-N,43.687603341579944
ATEBGNALLCMSGS-UHFFFAOYSA-N,24.40268204901532
ATHHXGZTWNVVOU-UHFFFAOYSA-N,55.3
ATPBQNGWWXHSNC-UHFFFAOYSA-N,122.332078840672
ATQUFXWBVZUTKO-UHFFFAOYSA-N,32.430649333373
ATVJXMYDOSMEPO-UHFFFAOYSA-N,38.9180060800548
AUAGGMPIKOZAJZ-UHFFFAOYSA-N,48.8
AUBDSFLQOBEOPX-UHFFFAOYSA-N,24.491685465115097
AUHZEENZYGFFBQ-UHFFFAOYSA-N,43.44477089760371
AUJLDZJNMXNESO-UHFFFAOYSA-N,39.29999999999999
AUKVIBNBLXQNIZ-UHFFFAOYSA-N,42.9
AUQDITHEDVOTCU-UHFFFAOYSA-N,40.9
AUYRUAVCWOAHQN-UHFFFAOYSA-N,34.3
AVBRYQRTMPHARE-UHFFFAOYSA-N,54.127283044648216
AVFZOVWCLRSYKC-UHFFFAOYSA-N,35.400000000000006
AVHNDAZRNRAYTP-UHFFFAOYSA-N,78.47502164761482
AVMHMVJVHYGDOO-UHFFFAOYSA-N,51.21498919077057
AVMSWPWPYJVYKY-UHFFFAOYSA-N,39.94404637207235
AVSVJSGDSPDFLH-UHFFFAOYSA-N,46.10000000000001
AVWMIWJCGFMMNP-UHFFFAOYSA-N,120.66450457442446
AWDHUGLHGCVIEG-UHFFFAOYSA-N,28.574957554248883
AWJUIBRHMBBTKR-UHFFFAOYSA-N,60.26634998654441
AXFFGMPNSZVEDX-UHFFFAOYSA-N,141.00000000000003
AXFVIWBTKYFOCY-UHFFFAOYSA-N,47.900000000000006
AXISYYRBXTVTFY-UHFFFAOYSA-N,119.55767778997657
AXIUBBVSOWPLDA-UHFFFAOYSA-N,50.53437203438638
AXPZDYVDTMMLNB-UHFFFAOYSA-N,51.9419235350277
AXWLKJWVMMAXBD-UHFFFAOYSA-N,48.9
AYQPVPFZWIQERS-UHFFFAOYSA-N,63.53264361792274
AYWJSCLAAPJZEF-UHFFFAOYSA-N,51.67944780876616
AZCKQUKJBYGEFQ-UHFFFAOYSA-N,42.95662865442226
AZFUASHXSOTBNU-UHFFFAOYSA-N,42.711183810620135
